MiniApp,API,GroundTruth,MiniDroid,TaintMini,GroundTruth_Pages,MiniDroid_Pages,TaintMini_Pages
wx94dce66285a76941,wx.chooseMessageFile,1,1,1,['pages/issue/issue'],['pages/issue/issue'],['issue/issue']
wx94dce66285a76941,wx.saveImageToPhotosAlbum,2,2,0,"['pages/usercenter/dashboard/index', 'pages/order/detail']","['pages/usercenter/dashboard/index', 'pages/order/detail']",[]
wx94dce66285a76941,wx.getUserProfile,11,9,9,"['pages/home/dashboard/index', 'pages/usercenter/dashboard/index', 'pages/issue/issue', 'pages/detail/index', 'pages/usercenter/payorder/index', 'pages/myQuan2/detail', 'pages/order/order', 'pages/order/detail', 'pages/order/judetail', 'pages/order/yuyue', 'pages/dm/dm']","['pages/usercenter/dashboard/index', 'pages/issue/issue', 'pages/detail/index', 'pages/myQuan2/detail', 'pages/order/order', 'pages/order/detail', 'pages/order/judetail', 'pages/order/yuyue', 'pages/dm/dm']","['order/order', 'order/judetail', 'order/yuyue', 'usercenter/dashboard/index', 'myQuan2/detail', 'dm/dm', 'order/detail', 'detail/index', 'issue/issue']"
wx94dce66285a76941,wx.getLocation,1,0,0,['pages/home/dashboard/index'],[],[]
wx94dce66285a76941,wx.chooseImage,3,3,3,"['pages/issue/issue', 'pages/register/register', 'pages/company/infoSet']","['pages/issue/issue', 'pages/register/register', 'pages/company/infoSet']","['register/register', 'company/infoSet', 'issue/issue']"
wx94dce66285a76941,wx.chooseLocation,3,3,3,"['pages/issue/issue', 'pages/company/infoSet', 'pages/company/storeSet']","['pages/issue/issue', 'pages/company/infoSet', 'pages/company/storeSet']","['company/storeSet', 'company/infoSet', 'issue/issue']"
wx0bc8123197e70985,wx.getLocation,5,5,3,"['pages/index/index', 'pages/governmentCoupon/index/index', 'pages/venue/list/list', 'pages/venue/detail/detail', 'pages/productOrder/code/code']","['pages/index/index', 'pages/governmentCoupon/index/index', 'pages/venue/list/list', 'pages/venue/detail/detail', 'pages/productOrder/code/code']","['productOrder/code/code', 'venue/list/list', 'governmentCoupon/index/index']"
wx0bc8123197e70985,wx.chooseImage,1,1,0,['pages/productOrder/comment/comment'],['pages/productOrder/comment/comment'],[]
wxa4b60583d43106a5,wx.saveImageToPhotosAlbum,2,2,3,"['pages/commission/poster/index', 'pages/goods/poster/poster']","['pages/commission/poster/index', 'pages/goods/poster/poster']","['goods/detail/poster/poster', 'goods/poster/poster', 'commission/poster/index']"
wxa4b60583d43106a5,wx.getUserInfo,1,0,0,['app'],[],[]
wx4df15ce98eee5097,wx.getLocation,4,4,3,"['pages/store/store', 'pages/purchase/purchase', 'pages/purchase/purchase_info/purchase_info', 'pages/address/address_edit/address_edit']","['pages/store/store', 'pages/purchase/purchase', 'pages/purchase/purchase_info/purchase_info', 'pages/address/address_edit/address_edit']","['address/address_edit/address_edit', 'store/store', 'purchase/purchase_info/purchase_info']"
wx4df15ce98eee5097,wx.chooseImage,1,0,0,['pages/member/member_infor/member_infor'],[],[]
wx4df15ce98eee5097,wx.getUserInfo,1,0,0,['app'],[],[]
